Date : 2025-03-07 00:22:12
Directory : c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing
Total : 173 files,  18890 codes, 1205 comments, 1704 blanks, all 21799 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend\src\main\java\com\ineedhousing\backend (Files)                                                                                                                           |          1 |          9 |          0 |          5 |         14 |
| backend\src\main\java\com\ineedhousing\backend\admin                                                                                                                             |          5 |        340 |         28 |         76 |        444 |
| backend\src\main\java\com\ineedhousing\backend\admin (Files)                                                                                                                     |          1 |         64 |          0 |         13 |         77 |
| backend\src\main\java\com\ineedhousing\backend\admin\exceptions                                                                                                                  |          1 |          6 |          0 |          4 |         10 |
| backend\src\main\java\com\ineedhousing\backend\admin\views                                                                                                                       |          3 |        270 |         28 |         59 |        357 |
| backend\src\main\java\com\ineedhousing\backend\apis                                                                                                                              |          9 |        380 |         96 |         68 |        544 |
| backend\src\main\java\com\ineedhousing\backend\apis (Files)                                                                                                                      |          3 |        316 |         96 |         42 |        454 |
| backend\src\main\java\com\ineedhousing\backend\apis\exceptions                                                                                                                   |          2 |         12 |          0 |          6 |         18 |
| backend\src\main\java\com\ineedhousing\backend\apis\requests                                                                                                                     |          4 |         52 |          0 |         20 |         72 |
| backend\src\main\java\com\ineedhousing\backend\auth                                                                                                                              |         11 |        378 |         69 |         71 |        518 |
| backend\src\main\java\com\ineedhousing\backend\auth (Files)                                                                                                                      |          2 |        290 |         69 |         37 |        396 |
| backend\src\main\java\com\ineedhousing\backend\auth\exceptions                                                                                                                   |          3 |         18 |          0 |          6 |         24 |
| backend\src\main\java\com\ineedhousing\backend\auth\requests                                                                                                                     |          5 |         56 |          0 |         22 |         78 |
| backend\src\main\java\com\ineedhousing\backend\auth\responses                                                                                                                    |          1 |         14 |          0 |          6 |         20 |
| backend\src\main\java\com\ineedhousing\backend\configs                                                                                                                           |          3 |        143 |         45 |         39 |        227 |
| backend\src\main\java\com\ineedhousing\backend\email                                                                                                                             |          4 |         66 |         13 |         23 |        102 |
| backend\src\main\java\com\ineedhousing\backend\favorite_listings                                                                                                                 |          7 |        177 |         59 |         48 |        284 |
| backend\src\main\java\com\ineedhousing\backend\favorite_listings (Files)                                                                                                         |          4 |        148 |         59 |         35 |        242 |
| backend\src\main\java\com\ineedhousing\backend\favorite_listings\exceptions                                                                                                      |          1 |          6 |          0 |          3 |          9 |
| backend\src\main\java\com\ineedhousing\backend\favorite_listings\requests                                                                                                        |          2 |         23 |          0 |         10 |         33 |
| backend\src\main\java\com\ineedhousing\backend\geometry                                                                                                                          |          2 |         28 |         21 |          9 |         58 |
| backend\src\main\java\com\ineedhousing\backend\housing_listings                                                                                                                  |         12 |        367 |        111 |         97 |        575 |
| backend\src\main\java\com\ineedhousing\backend\housing_listings (Files)                                                                                                          |          4 |        246 |         80 |         59 |        385 |
| backend\src\main\java\com\ineedhousing\backend\housing_listings\exceptions                                                                                                       |          2 |         12 |          0 |          6 |         18 |
| backend\src\main\java\com\ineedhousing\backend\housing_listings\requests                                                                                                         |          5 |         50 |          0 |         20 |         70 |
| backend\src\main\java\com\ineedhousing\backend\housing_listings\utils                                                                                                            |          1 |         59 |         31 |         12 |        102 |
| backend\src\main\java\com\ineedhousing\backend\jwt                                                                                                                               |          2 |        121 |         17 |         31 |        169 |
| backend\src\main\java\com\ineedhousing\backend\user                                                                                                                              |          6 |        191 |         62 |         56 |        309 |
| backend\src\main\java\com\ineedhousing\backend\user (Files)                                                                                                                      |          5 |        179 |         62 |         53 |        294 |
| backend\src\main\java\com\ineedhousing\backend\user\requests                                                                                                                     |          1 |         12 |          0 |          3 |         15 |
| backend\src\main\java\com\ineedhousing\backend\user_search_preferences                                                                                                           |          9 |        397 |         63 |         99 |        559 |
| backend\src\main\java\com\ineedhousing\backend\user_search_preferences (Files)                                                                                                   |          4 |        247 |         58 |         60 |        365 |
| backend\src\main\java\com\ineedhousing\backend\user_search_preferences\exceptions                                                                                                |          1 |          6 |          0 |          4 |         10 |
| backend\src\main\java\com\ineedhousing\backend\user_search_preferences\requests                                                                                                  |          3 |         69 |          0 |         15 |         84 |
| backend\src\main\java\com\ineedhousing\backend\user_search_preferences\utils                                                                                                     |          1 |         75 |          5 |         20 |        100 |
| backend\src\main\resources                                                                                                                                                       |          1 |         25 |          0 |          4 |         29 |
| backend\src\test                                                                                                                                                                 |         26 |      2,684 |        363 |        723 |      3,770 |
| backend\src\test\java                                                                                                                                                            |         26 |      2,684 |        363 |        723 |      3,770 |
| backend\src\test\java\com                                                                                                                                                        |         26 |      2,684 |        363 |        723 |      3,770 |
| backend\src\test\java\com\ineedhousing                                                                                                                                           |         26 |      2,684 |        363 |        723 |      3,770 |
| backend\src\test\java\com\ineedhousing\backend                                                                                                                                   |         26 |      2,684 |        363 |        723 |      3,770 |
| backend\src\test\java\com\ineedhousing\backend (Files)                                                                                                                           |          1 |          9 |          0 |          5 |         14 |
| backend\src\test\java\com\ineedhousing\backend\admin                                                                                                                             |          2 |         12 |          0 |         10 |         22 |
| backend\src\test\java\com\ineedhousing\backend\admin (Files)                                                                                                                     |          1 |          7 |          0 |          4 |         11 |
| backend\src\test\java\com\ineedhousing\backend\admin\views                                                                                                                       |          1 |          5 |          0 |          6 |         11 |
| backend\src\test\java\com\ineedhousing\backend\apis                                                                                                                              |          3 |        609 |         71 |        134 |        814 |
| backend\src\test\java\com\ineedhousing\backend\auth                                                                                                                              |          2 |        431 |         86 |         94 |        611 |
| backend\src\test\java\com\ineedhousing\backend\configs                                                                                                                           |          3 |        208 |         29 |         59 |        296 |
| backend\src\test\java\com\ineedhousing\backend\email                                                                                                                             |          2 |         69 |          0 |         14 |         83 |
| backend\src\test\java\com\ineedhousing\backend\favorite_listings                                                                                                                 |          2 |        230 |         44 |         77 |        351 |
| backend\src\test\java\com\ineedhousing\backend\geometry                                                                                                                          |          1 |         47 |          2 |         19 |         68 |
| backend\src\test\java\com\ineedhousing\backend\housing_listings                                                                                                                  |          3 |        417 |         59 |        119 |        595 |
| backend\src\test\java\com\ineedhousing\backend\housing_listings (Files)                                                                                                          |          2 |        268 |         54 |         79 |        401 |
| backend\src\test\java\com\ineedhousing\backend\housing_listings\utils                                                                                                            |          1 |        149 |          5 |         40 |        194 |
| backend\src\test\java\com\ineedhousing\backend\jwt                                                                                                                               |          2 |        194 |         20 |         41 |        255 |
| backend\src\test\java\com\ineedhousing\backend\user                                                                                                                              |          2 |        179 |         40 |         60 |        279 |
| backend\src\test\java\com\ineedhousing\backend\user_search_preferences                                                                                                           |          3 |        279 |         12 |         91 |        382 |
| backend\src\test\java\com\ineedhousing\backend\user_search_preferences (Files)                                                                                                   |          2 |        159 |          9 |         54 |        222 |
| backend\src\test\java\com\ineedhousing\backend\user_search_preferences\utils                                                                                                     |          1 |        120 |          3 |         37 |        160 |
| frontend                                                                                                                                                                         |         56 |     12,817 |        204 |        271 |     13,292 |
| frontend (Files)                                                                                                                                                                 |          9 |     11,069 |          7 |         34 |     11,110 |
| frontend\__test__                                                                                                                                                                |          4 |        145 |          6 |         27 |        178 |
| frontend\__test__ (Files)                                                                                                                                                        |          1 |         31 |          3 |          4 |         38 |
| frontend\__test__\components                                                                                                                                                     |          3 |        114 |          3 |         23 |        140 |
| frontend\public                                                                                                                                                                  |          4 |          6 |          0 |          0 |          6 |
| frontend\public (Files)                                                                                                                                                          |          2 |          2 |          0 |          0 |          2 |
| frontend\public\sidebar                                                                                                                                                          |          2 |          4 |          0 |          0 |          4 |
| frontend\src                                                                                                                                                                     |         39 |      1,597 |        191 |        210 |      1,998 |
| frontend\src\app                                                                                                                                                                 |         12 |        512 |         45 |         81 |        638 |
| frontend\src\app (Files)                                                                                                                                                         |          4 |         69 |          0 |         17 |         86 |
| frontend\src\app\about                                                                                                                                                           |          1 |         29 |          0 |          4 |         33 |
| frontend\src\app\home                                                                                                                                                            |          3 |        320 |         45 |         42 |        407 |
| frontend\src\app\sign-in                                                                                                                                                         |          1 |         30 |          0 |          2 |         32 |
| frontend\src\app\sign-up                                                                                                                                                         |          2 |         59 |          0 |         11 |         70 |
| frontend\src\app\sign-up (Files)                                                                                                                                                 |          1 |         30 |          0 |          7 |         37 |
| frontend\src\app\sign-up\verify                                                                                                                                                  |          1 |         29 |          0 |          4 |         33 |
| frontend\src\app\utils                                                                                                                                                           |          1 |          5 |          0 |          5 |         10 |
| frontend\src\components                                                                                                                                                          |         14 |        638 |         42 |         82 |        762 |
| frontend\src\endpoints                                                                                                                                                           |          5 |        318 |        102 |         34 |        454 |
| frontend\src\hooks                                                                                                                                                               |          1 |         22 |          2 |          2 |         26 |
| frontend\src\interfaces                                                                                                                                                          |          7 |        107 |          0 |         11 |        118 |
| frontend\src\interfaces (Files)                                                                                                                                                  |          1 |         52 |          0 |          3 |         55 |
| frontend\src\interfaces\requests                                                                                                                                                 |          5 |         51 |          0 |          8 |         59 |
| frontend\src\interfaces\responses                                                                                                                                                |          1 |          4 |          0 |          0 |          4 |
| openapi                                                                                                                                                                          |         10 |        316 |          0 |         20 |        336 |
| openapi (Files)                                                                                                                                                                  |          1 |         22 |          0 |          7 |         29 |
| openapi\parameters                                                                                                                                                               |          1 |          8 |          0 |          0 |          8 |
| openapi\paths                                                                                                                                                                    |          4 |         33 |          0 |          9 |         42 |
| openapi\paths (Files)                                                                                                                                                            |          3 |          0 |          0 |          3 |          3 |
| openapi\paths\users                                                                                                                                                              |          1 |         33 |          0 |          6 |         39 |
| openapi\schemas                                                                                                                                                                  |          4 |        253 |          0 |          4 |        257 |
| scripts                                                                                                                                                                          |          2 |         85 |          1 |         22 |        108 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                         | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\README.md                                                                                                               | Markdown           |         30 |          0 |         10 |         40 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\.dockerignore                                                                                                   | Ignore             |          1 |          0 |          0 |          1 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\.mvn\wrapper\maven-wrapper.properties                                                                           | Java Properties    |          3 |         16 |          1 |         20 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\Dockerfile                                                                                                      | Docker             |         12 |         10 |          9 |         31 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\compose.yaml                                                                                                    | YAML               |         13 |          0 |          1 |         14 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\mvnw.cmd                                                                                                        | Batch              |        108 |         26 |         16 |        150 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\pom.xml                                                                                                         | XML                |        199 |          1 |          5 |        205 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\BackendApplication.java                                                  | Java               |          9 |          0 |          5 |         14 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\admin\AdminService.java                                                  | Java               |         64 |          0 |         13 |         77 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\admin\exceptions\UnauthorizedAccessException.java                        | Java               |          6 |          0 |          4 |         10 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\admin\views\AdminAuthView.java                                           | Java               |         64 |          0 |         24 |         88 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\admin\views\AdminDashboardView.java                                      | Java               |         91 |          0 |         16 |        107 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\admin\views\ListingRetrievalForm.java                                    | Java               |        115 |         28 |         19 |        162 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\AirbnbApiService.java                                               | Java               |        127 |         41 |         13 |        181 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\ExternalApisController.java                                         | Java               |         77 |         23 |         14 |        114 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\RentCastAPIService.java                                             | Java               |        112 |         32 |         15 |        159 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\exceptions\FailedApiCallException.java                              | Java               |          6 |          0 |          3 |          9 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\exceptions\NoListingsFoundException.java                            | Java               |          6 |          0 |          3 |          9 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\requests\AirbnbGeoCoordinateRequest.java                            | Java               |         15 |          0 |          6 |         21 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\requests\AirbnbLocationRequest.java                                 | Java               |         14 |          0 |          5 |         19 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\requests\AreaRequest.java                                           | Java               |         12 |          0 |          5 |         17 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\requests\CityAndStateRequest.java                                   | Java               |         11 |          0 |          4 |         15 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\AuthenticationController.java                                       | Java               |        116 |         26 |         14 |        156 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\AuthenticationService.java                                          | Java               |        174 |         43 |         23 |        240 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\exceptions\AuthenticationException.java                             | Java               |          6 |          0 |          2 |          8 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\exceptions\ExpiredVerificationCodeException.java                    | Java               |          6 |          0 |          2 |          8 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\exceptions\UserAlreadyVerifiedException.java                        | Java               |          6 |          0 |          2 |          8 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\requests\AuthenticateUserDto.java                                   | Java               |         11 |          0 |          4 |         15 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\requests\ChangePasswordDto.java                                     | Java               |         12 |          0 |          4 |         16 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\requests\ForgotPasswordDto.java                                     | Java               |         12 |          0 |          5 |         17 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\requests\ResendEmailDto.java                                        | Java               |         10 |          0 |          4 |         14 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\requests\VerifyUserDto.java                                         | Java               |         11 |          0 |          5 |         16 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\responses\LoginResponse.java                                        | Java               |         14 |          0 |          6 |         20 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\configs\ApplicationConfiguration.java                                    | Java               |         39 |         17 |         10 |         66 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\configs\RestClientConfiguration.java                                     | Java               |         51 |         15 |         15 |         81 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\configs\SecurityConfiguration.java                                       | Java               |         53 |         13 |         14 |         80 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\email\EmailConfiguration.java                                            | Java               |         28 |          6 |          9 |         43 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\email\EmailService.java                                                  | Java               |         24 |          7 |          7 |         38 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\email\EmailVerificationException.java                                    | Java               |          8 |          0 |          4 |         12 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\email\InvalidEmailException.java                                         | Java               |          6 |          0 |          3 |          9 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\FavoriteListing.java                                   | Java               |         33 |          3 |          9 |         45 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\FavoriteListingController.java                         | Java               |         56 |         27 |         12 |         95 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\FavoriteListingRepository.java                         | Java               |          6 |          0 |          3 |          9 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\FavoriteListingService.java                            | Java               |         53 |         29 |         11 |         93 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\exceptions\FavoriteListingNotFoundException.java       | Java               |          6 |          0 |          3 |          9 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\requests\AddFavoriteListingsRequest.java               | Java               |         12 |          0 |          5 |         17 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\requests\DeleteFavoriteListingsRequest.java            | Java               |         11 |          0 |          5 |         16 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\geometry\GeometrySingleton.java                                          | Java               |         13 |         10 |          5 |         28 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\geometry\PolygonCreator.java                                             | Java               |         15 |         11 |          4 |         30 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\HousingListing.java                                     | Java               |         45 |          2 |         20 |         67 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\HousingListingController.java                           | Java               |        102 |         38 |         17 |        157 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\HousingListingRepository.java                           | Java               |         15 |          0 |          7 |         22 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\HousingListingService.java                              | Java               |         84 |         40 |         15 |        139 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\exceptions\NoListingFoundException.java                 | Java               |          6 |          0 |          3 |          9 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\exceptions\NoListingsFoundInAreaException.java          | Java               |          6 |          0 |          3 |          9 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\requests\ExactPreferencesDto.java                       | Java               |         13 |          0 |          5 |         18 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\requests\GetListingsByPreferenceRequest.java            | Java               |         11 |          0 |          4 |         15 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\requests\GetListingsBySpecificPreferenceRequest.java    | Java               |         11 |          0 |          5 |         16 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\requests\GetListingsInAreaRequest.java                  | Java               |         12 |          0 |          3 |         15 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\requests\HouseListing.java                              | Java               |          3 |          0 |          3 |          6 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\utils\UserPreferencesFilterer.java                      | Java               |         59 |         31 |         12 |        102 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\jwt\JwtAuthenticationFilter.java                                         | Java               |         52 |          5 |         11 |         68 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\jwt\JwtService.java                                                      | Java               |         69 |         12 |         20 |        101 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\User.java                                                           | Java               |         73 |          3 |         24 |        100 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\UserController.java                                                 | Java               |         54 |         24 |         10 |         88 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\UserRepository.java                                                 | Java               |          8 |          0 |          6 |         14 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\UserService.java                                                    | Java               |         38 |         35 |         11 |         84 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\UserType.java                                                       | Java               |          6 |          0 |          2 |          8 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\requests\SetUserTypeRequest.java                                    | Java               |         12 |          0 |          3 |         15 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreference.java                              | Java               |         70 |          3 |         24 |         97 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceController.java                    | Java               |         72 |         25 |         15 |        112 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceRepository.java                    | Java               |          6 |          0 |          5 |         11 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceService.java                       | Java               |         99 |         30 |         16 |        145 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\exceptions\UserPreferenceNotFound.java           | Java               |          6 |          0 |          4 |         10 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\requests\NewFiltersDto.java                      | Java               |         27 |          0 |          4 |         31 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\requests\RawCoordinateUserPreferenceRequest.java | Java               |         21 |          0 |          4 |         25 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\requests\RawUserPreferenceRequest.java           | Java               |         21 |          0 |          7 |         28 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\utils\UserPreferenceBuilder.java                 | Java               |         75 |          5 |         20 |        100 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\resources\application.properties                                                                       | Java Properties    |         25 |          0 |          4 |         29 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\BackendApplicationTests.java                                             | Java               |          9 |          0 |          5 |         14 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\admin\AdminServiceTest.java                                              | Java               |          7 |          0 |          4 |         11 |
| c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\admin\views\AdminAuthViewTest.java                                       | Java               |          5 |          0 |          6 |         11 |
